derived_field_or_metric,relationship_direction,formula_or_logic,input_fields,computed_where,used_for,notes
enrollmentGrowth5yr,forward,enrollmentGrowth5yrPct >= 0,1.1 col J (enrollment growth %),App (loadSchoolsFromSheets),Legacy boolean alongside Pct,Prefer enrollmentGrowth5yrPct for thresholds
specialtyProgramCount,forward / alias,specialtyProgramCount = programmaticOfferings,1.1 col X (Adequate Programmatic Offerings),App (loadSchoolsFromSheets),Prioritize Program Access,Same sheet value mapped to two properties
nearUnderutilizedSchool,forward,"underutilizedCount > 0 OR complimentaryGrades OR sameGrades","1.1 col N (count); col R (complimentary); col T (same grades)",App (loadSchoolsFromSheets),Strategy decision tree (group 1 path),Combines three sheet inputs into one boolean
overutilizedMpsWithin1Mile,forward,distanceToOverutilized === 0,3.2 col Z (Distance to Overutilized School),App (loadSchoolsFromSheets),Prioritize group 4; map compare,"Not a within-1-mile flag despite property name; true only at distance 0"
raceEthnicityCounts[race],forward,round((raceSharePct / 100) * currentEnrollment),"3.3 cols AR–AX (race shares); col S (Current Enrollment)",App (loadSchoolsFromSheets),Strategy Group Charts,Unknown (AY) dropped; HI/PI→Hawaiian or Pacific Isl.; Multiple→Multi-Racial
raceSharePct[race],reverse,raceEthnicityCounts[race] / currentEnrollment * 100,"raceEthnicityCounts; currentEnrollment",Documented only (not recomputed in app),Could replace sheet race % columns,App stores counts after converting from sheet %
economicDisadvantageRate,reverse (documented),economicallyDisadvantagedCount / currentEnrollment * 100,"3.3 col AM (count); col S (enrollment)",Likely sheet formula; app reads both separately,Prioritize uses rate; charts use count,App does not recompute one from the other — both loaded
economicallyDisadvantagedCount,reverse (documented),economicDisadvantageRate / 100 * currentEnrollment,"3.3 col AL (rate); col S (enrollment)",Likely sheet formula; app reads both separately,Charts use count,Symmetric to rate↔count relationship
buildingScore (fallback),forward,if 1.1 score missing/zero then use 1.2 compositeScore,"1.1 col V; 1.2 col P",App (loadSchoolsFromSheets),Strategy tree; Prioritize; Summary,Primary path is 1.1 score
buildingScore / compositeScore,forward (sheet),Weighted composite of FCI + EUI + AC scores (sheet weights ~30%/20%/50%),"1.2 FCI/EUI/AC blocks (cols J–N and score cols)",Likely sheet formula (1.2),Dashboard reads result,Sheet note: FCI/EUI/AC source data in 3.2 and 3.4
utilizationRate,forward (sheet),Typically current enrollment / capacity (or equivalent),Enrollment and capacity fields in source workbook,Likely sheet formula (1.1),Strategy tree; Prioritize; Summary; map,App only normalizes display (% vs fraction)
projectedUtilization10yr,forward (sheet),Projected enrollment / capacity over ~10 years,Projection inputs in source workbook,Likely sheet formula (1.1),Strategy tree (over-util path); map,App reads result only
enrollmentGrowth5yrPct,forward (sheet),Average yearly enrollment change 2019–2024,Historical enrollment series,Likely sheet formula (1.1),Strategy tree growth branch,Header: Enrollment growth 2019-2024 (*Average yearly change)
priorityScore,forward,"Σ (weight_i / Σweights) * minMaxNormalize(criterion_i); +0.08 if receivesDisplacedStudents and toggle on",Active Prioritize criteria properties,App (prioritization.ts),Step 4 ranking; ranked CSV,"receivesDisplacedStudents always false from sheets"
groupAvgUtilization / groupAvgBuildingScore,forward,mean(utilizationRate) and mean(buildingScore) within strategy group,utilizationRate; buildingScore,App (Step3Summary),Summary group stats cards,Aggregation only
chartFrlByGroup,forward,sum(economicallyDisadvantagedCount) by strategy group,economicallyDisadvantagedCount,App (strategyGroupCharts),Strategy Group Charts,Aggregation only
chartEllByGroup,forward,sum(ellStudentCount) by strategy group,ellStudentCount,App (strategyGroupCharts),Strategy Group Charts,Aggregation only
chartRaceByGroup,forward,sum(raceEthnicityCounts[race]) by strategy group × race,raceEthnicityCounts,App (strategyGroupCharts),Strategy Group Charts,Uses app-converted counts
chartEnrollmentByDistrict,forward,sum(currentEnrollment) by boardDistrict × strategy group,"boardDistrict; currentEnrollment",App (strategyGroupCharts),Strategy Group Charts,Aggregation only
dpiSchoolCode (inherited),forward,Lower campus DPI copied from paired upper campus when blank,"3.1 col L; hard-coded pairs 362←131 176←67 140←167",App (loadSchoolsFromSheets),GeoJSON map join,Not a numeric calc; inheritance rule
schoolId,forward,MPS- + zero-padded Site number,1.1 col A (Site),App (loadSchoolsFromSheets),IDs throughout UI,Formatting only
boardDistrict,forward,District {n} from numeric/text board district,3.2 col K,App (formatBoardDistrict),Charts; map compare,Formatting only
